shipment_id,order_id,shipment_date,delivery_date,date_ingested
1,1,2022-07-14,,2023-06-04
2,2,,,2023-06-04
3,3,2022-07-31,2022-08-03,2023-06-04
4,4,2022-09-02,2022-09-05,2023-06-04
5,5,2021-12-19,2021-12-20,2023-06-04
6,6,2021-04-17,2021-04-18,2023-06-04
7,7,,,2023-06-04
8,8,2021-05-10,2021-05-13,2023-06-04
9,9,,,2023-06-04
10,10,,,2023-06-04
11,11,,,2023-06-04
12,12,,,2023-06-04
13,13,2021-07-01,2021-07-03,2023-06-04
14,14,,,2023-06-04
15,15,2021-03-02,2021-03-03,2023-06-04
16,16,,,2023-06-04
17,17,,,2023-06-04
18,18,,,2023-06-04
19,19,,,2023-06-04
20,20,,,2023-06-04
21,21,2021-04-27,,2023-06-04
22,22,2021-03-10,2021-03-13,2023-06-04
23,23,,,2023-06-04
24,24,2022-07-10,,2023-06-04
25,25,2021-05-01,2021-05-02,2023-06-04
26,26,,,2023-06-04
27,27,2022-06-08,2022-06-10,2023-06-04
28,28,,,2023-06-04
29,29,,,2023-06-04
30,30,,,2023-06-04
31,31,2021-03-15,2021-03-18,2023-06-04
32,32,,,2023-06-04
33,33,2021-08-11,2021-08-12,2023-06-04
34,34,,,2023-06-04
35,35,2021-08-23,2021-08-25,2023-06-04
36,36,,,2023-06-04
37,37,,,2023-06-04
38,38,2021-09-04,2021-09-05,2023-06-04
39,39,2022-08-11,2022-08-13,2023-06-04
40,40,,,2023-06-04
41,41,2022-03-16,2022-03-18,2023-06-04
42,42,2021-03-08,2021-03-10,2023-06-04
43,43,,,2023-06-04
44,44,,,2023-06-04
45,45,2021-04-17,2021-04-20,2023-06-04
46,46,,,2023-06-04
47,47,,,2023-06-04
48,48,,,2023-06-04
49,49,,,2023-06-04
50,50,2022-08-22,2022-08-24,2023-06-04
51,51,2021-03-01,2021-03-02,2023-06-04
52,52,2021-06-17,,2023-06-04
53,53,,,2023-06-04
54,54,,,2023-06-04
55,55,,,2023-06-04
56,56,,,2023-06-04
57,57,,,2023-06-04
58,58,2021-01-16,2021-01-17,2023-06-04
59,59,,,2023-06-04
60,60,,,2023-06-04
61,61,,,2023-06-04
62,62,,,2023-06-04
63,63,,,2023-06-04
64,64,2021-06-15,2021-06-17,2023-06-04
65,65,2021-08-02,,2023-06-04
66,66,2021-02-25,2021-02-28,2023-06-04
67,67,,,2023-06-04
68,68,2022-04-01,2022-04-02,2023-06-04
69,69,,,2023-06-04
70,70,2022-08-23,2022-08-25,2023-06-04
71,71,2021-11-15,2021-11-17,2023-06-04
72,72,2021-04-18,2021-04-21,2023-06-04
73,73,2021-09-06,2021-09-08,2023-06-04
74,74,2021-07-05,2021-07-06,2023-06-04
75,75,,,2023-06-04
76,76,2021-08-19,,2023-06-04
77,77,,,2023-06-04
78,78,,,2023-06-04
79,79,,,2023-06-04
80,80,2021-10-01,,2023-06-04
81,81,,,2023-06-04
82,82,,,2023-06-04
83,83,,,2023-06-04
84,84,,,2023-06-04
85,85,2021-11-20,2021-11-21,2023-06-04
86,86,,,2023-06-04
87,87,,,2023-06-04
88,88,2021-06-30,2021-07-01,2023-06-04
89,89,2021-01-07,2021-01-08,2023-06-04
90,90,2021-11-27,2021-11-29,2023-06-04
91,91,2022-06-10,2022-06-12,2023-06-04
92,92,,,2023-06-04
93,93,2021-11-16,2021-11-19,2023-06-04
94,94,,,2023-06-04
95,95,,,2023-06-04
96,96,,,2023-06-04
97,97,2021-04-21,2021-04-24,2023-06-04
98,98,,,2023-06-04
99,99,,,2023-06-04
100,100,,,2023-06-04
101,101,2022-03-19,2022-03-22,2023-06-04
102,102,2022-04-10,2022-04-13,2023-06-04
103,103,,,2023-06-04
104,104,2021-10-22,2021-10-25,2023-06-04
105,105,,,2023-06-04
106,106,,,2023-06-04
107,107,,,2023-06-04
108,108,2022-08-26,2022-08-29,2023-06-04
109,109,2022-05-10,2022-05-13,2023-06-04
110,110,2022-03-08,2022-03-09,2023-06-04
111,111,,,2023-06-04
112,112,,,2023-06-04
113,113,,,2023-06-04
114,114,,,2023-06-04
115,115,,,2023-06-04
116,116,,,2023-06-04
117,117,,,2023-06-04
118,118,,,2023-06-04
119,119,,,2023-06-04
120,120,,,2023-06-04
121,121,2021-05-13,2021-05-14,2023-06-04
122,122,2021-09-26,2021-09-29,2023-06-04
123,123,2021-06-20,2021-06-21,2023-06-04
124,124,2022-08-17,2022-08-20,2023-06-04
125,125,2021-03-20,,2023-06-04
126,126,2021-05-06,,2023-06-04
127,127,2022-03-16,2022-03-19,2023-06-04
128,128,,,2023-06-04
129,129,2022-01-08,2022-01-11,2023-06-04
130,130,2021-07-05,,2023-06-04
131,131,,,2023-06-04
132,132,,,2023-06-04
133,133,,,2023-06-04
134,134,,,2023-06-04
135,135,2021-08-12,2021-08-14,2023-06-04
136,136,,,2023-06-04
137,137,,,2023-06-04
138,138,,,2023-06-04
139,139,,,2023-06-04
140,140,,,2023-06-04
141,141,,,2023-06-04
142,142,,,2023-06-04
143,143,2021-11-25,2021-11-26,2023-06-04
144,144,,,2023-06-04
145,145,,,2023-06-04
146,146,2021-08-24,2021-08-26,2023-06-04
147,147,,,2023-06-04
148,148,,,2023-06-04
149,149,,,2023-06-04
150,150,,,2023-06-04
151,151,2022-05-24,2022-05-26,2023-06-04
152,152,2021-06-07,,2023-06-04
153,153,,,2023-06-04
154,154,2022-06-25,2022-06-26,2023-06-04
155,155,,,2023-06-04
156,156,2021-08-07,,2023-06-04
157,157,,,2023-06-04
158,158,,,2023-06-04
159,159,,,2023-06-04
160,160,,,2023-06-04
161,161,2021-07-28,2021-07-30,2023-06-04
162,162,,,2023-06-04
163,163,,,2023-06-04
164,164,2022-04-28,2022-04-29,2023-06-04
165,165,,,2023-06-04
166,166,,,2023-06-04
167,167,,,2023-06-04
168,168,2021-01-23,2021-01-26,2023-06-04
169,169,2022-04-28,2022-04-30,2023-06-04
170,170,,,2023-06-04
171,171,,,2023-06-04
172,172,2021-12-07,2021-12-09,2023-06-04
173,173,,,2023-06-04
174,174,2021-11-30,2021-12-03,2023-06-04
175,175,,,2023-06-04
176,176,,,2023-06-04
177,177,,,2023-06-04
